net,length_um
_06061_,2081.06
_06347_,2033.98
_06478_,1940.815
_05909_,1934.19
_06841_,1925.43
_06455_,1847.52
_05905_,1840.815
_05895_,1837.93
_07075_,1834.67
_06744_,1827.26
_03412_,1819.315
_06202_,1791.32
_06000_,1787.18
_05982_,1758.82
_06204_,1705.34
_06038_,1703.53
_06461_,1698.565
_06754_,1684.19
_06166_,1679.465
_07279_,1678.77
_06140_,1676.655
_06074_,1668.29
_06159_,1652.04
_06146_,1650.385
_06815_,1646.99
_06009_,1642.03
_05970_,1637.06
_06748_,1636.63
_06191_,1635.055
_05910_,1624.835
_06115_,1623.33
_03420_,1622.23
_05902_,1616.175
_06912_,1587.19
_05957_,1587.08
_02201_,1587.05
_06210_,1566.57
_06707_,1550.35
net103,1540.21
_06220_,1535.245
_06812_,1529.39
_06341_,1526.12
net97,1522.96
_06400_,1510.46
_06086_,1509.41
_05995_,1491
_06474_,1490.39
_06774_,1488.54
_03343_,1471.16
_06312_,1457.43
_06980_,1455.19
net102,1444.89
net100,1439.21
_05935_,1434.18
_06832_,1433.39
_06353_,1432.85
_07096_,1431.21
_06199_,1423.9
_06147_,1419.14
_06422_,1413.8
_06355_,1411.05
_06718_,1410.35
_02339_,1407.63
_03418_,1403.31
_02658_,1391.73
_05937_,1390.73
_05931_,1389.83
_06877_,1382.185
_06120_,1380.6
_06063_,1380.59
_02656_,1371.1
_02194_,1367.98
_02650_,1367.81
_06960_,1366.51
_02328_,1366.23
_06131_,1366.16
_07084_,1364.34
_06920_,1362.84
_08548_,1361.18
_06770_,1360.25
_06772_,1355.815
_06254_,1349.58
_05893_,1344.99
_09015_,1344.12
_09248_,1336.75
_08545_,1330.95
_03573_,1325.55
net101,1322.14
_02336_,1321.92
_06365_,1317.635
_06372_,1316.28
_03341_,1312.78
_06931_,1312.555
_03087_,1311.15
_06327_,1309.99
_03345_,1307.295
_06171_,1305.845
_02828_,1304.73
_09250_,1304.645
_09013_,1293.48
_06080_,1288.95
_03094_,1286.76
_06082_,1274.42
net99,1274.1
_06380_,1272.16
_06251_,1271.49
_08888_,1270.08
_06026_,1266.05
_06851_,1259.18
_06235_,1245.405
_02342_,1242.03
_08890_,1240.89
_06758_,1240.875
_06215_,1238.87
_06760_,1238.8
_02345_,1234.03
_06232_,1224.36
_03339_,1223.385
net173,1223.14
_06079_,1222.28
net66,1218.05
_06908_,1216.72
_05901_,1213.16
_06179_,1209.37
_06942_,1206.91
_08879_,1203.93
_06708_,1202.19
_02883_,1202.12
_06442_,1200.56
_09008_,1196.89
net46,1196.06
_06001_,1187.705
_06011_,1187.08
_03334_,1185.23
_06046_,1183.795
_02818_,1182.06
_06068_,1175.23
_05933_,1172.98
_03677_,1171.79
net175,1169.74
_02913_,1154.73
_03186_,1154.54
_06315_,1153.21
_08542_,1145.59
_05890_,1143.17
_06076_,1141.81
net127,1141.22
_06282_,1140.51
_06223_,1140.375
_06153_,1139.45
net24,1137.28
_06395_,1136.965
_06896_,1130.57
_06289_,1129.725
_08883_,1128.42
_06300_,1122.93
_05922_,1121.84
_03575_,1120.87
_05993_,1118.56
_06208_,1117.42
net164,1116.8
net168,1109.34
_02199_,1101.36
_09244_,1097.73
net134,1096.76
_06834_,1094.76
_06755_,1093.72
_06087_,1079.39
_06186_,1073.17
_03092_,1068.62
_06230_,1067.285
_06299_,1065.6
_03567_,1063.1
net158,1062.64
_06049_,1059.67
net190,1059.46
_08886_,1057.9
_06321_,1057.67
net52,1055.58
_05938_,1054.85
_03193_,1051.04
_02374_,1050.33
_06112_,1049.2
_03416_,1047.07
_07277_,1046.305
net16,1044.2
net70,1043.9
_02239_,1043.73
_06762_,1040.29
_06723_,1034.67
_03426_,1033.77
_06859_,1033.37
net177,1032.6
net109,1031.3
net98,1029.21
net84,1027.34
_04432_,1027.25
_06187_,1026.22
_05911_,1024.73
_06435_,1024.09
net198,1022.92
net40,1022.58
net192,1020.65
_06794_,1019.81
_06039_,1019.05
_06441_,1018.46
_08531_,1017.94
net111,1017.36
_06359_,1016.15
_09246_,1014.9
_06322_,1014.175
_06937_,1014.04
_08839_,1013.3
_02333_,1013.14
_05919_,1013.125
net181,1013.1
net85,1010.88
_03674_,1008.845
_06216_,1007.91
net128,1007.42
net104,1004.185
_02297_,1003.24
_06903_,1001.825
_03424_,1001.58
_03422_,998.41
_03191_,997.79
_05994_,997.045
net142,996.925
_02977_,996.68
_09239_,996.09
net54,991.79
net105,991.17
net49,990.275
_03197_,988.72
_06413_,985.38
net19,984.9
_08539_,983.51
_07253_,982.83
_09310_,982.33
_05973_,980.885
net5,980.82
_02353_,978.27
_02833_,973.45
_09265_,973.02
_03240_,971.39
_07001_,971.05
_02229_,969.98
net62,967.24
_04973_,966.72
_05896_,965.3
net129,962.52
_08969_,961.18
_06895_,959.445
_03096_,957.98
net280,955.85
_02266_,953.71
net80,949.02
_02286_,947.44
_06099_,945.94
_06261_,941.62
net86,941.36
_08586_,941.28
_06343_,940.84
_05954_,939.99
_06382_,939.33
_09086_,936.06
_02973_,935.03
net56,933
_03679_,932.72
_02805_,932.4
_06366_,931.225
_06295_,929.285
_03195_,929.17
_06056_,928.85
_06185_,926.34
clknet_0_clk,924.72
_02689_,924.38
_09242_,921.91
_09076_,920.37
net125,919.48
net47,919.24
_03098_,919.02
_06036_,916.28
_02526_,913.53
net124,909.44
_04424_,909.17
net6,907.46
_02975_,907.04
net68,905.36
net50,905
_05945_,904.24
_02969_,903.63
_06967_,902.905
_07021_,899.99
_09025_,896.83
_08892_,896.72
_05941_,895.42
_02330_,894.77
_05961_,894.505
_06013_,890.39
net8,890.26
_06025_,889.65
_03689_,888.56
_09252_,887.31
_05892_,887.08
_05976_,884.05
_03203_,880.84
_06466_,880.56
net183,880.32
net78,878.325
_03687_,877.34
_05058_,875.64
net36,873.06
_02376_,872.75
_06387_,872.655
_06192_,872.55
_06417_,871.125
_06062_,870.86
_05978_,870.73
_08978_,870.58
_06167_,868.26
_08894_,866.66
_06952_,865.015
_06032_,861.54
_06193_,861.045
_06298_,860.81
_07957_,860.14
_06107_,859.8
_02985_,858.88
_05958_,854.98
_05979_,854.59
_06809_,853.29
_09039_,852.35
_06361_,851.65
_02654_,850.47
_06429_,849.18
_06426_,848.775
net96,848.38
_09019_,847.76
clknet_2_3_0_clk,847.06
_05913_,844.91
_06305_,843.14
_07137_,841.75
_06367_,839.77
_02709_,838.875
_06096_,838.53
net161,838.4
_02220_,837.26
_02730_,835.59
_03579_,834.69
_02720_,833.88
_03478_,832.85
_06830_,832.55
_09023_,832.44
_02209_,832.27
_02386_,828.22
_03279_,827.755
_02341_,824.2
_03548_,823.1
_08901_,822.57
_09017_,822.36
_02981_,822.12
_06094_,821.8
_06057_,819.54
net14,819.32
_02979_,819.16
_06044_,818.595
_05975_,816.11
_02826_,812.36
_05923_,811.61
_06165_,810.69
_02662_,809.7
_09254_,808.21
_02699_,807.52
_04430_,804.3
_06121_,803.75
_06091_,802.45
_02525_,801.92
net59,800.21
_02344_,800.17
_02348_,799.47
_07078_,799.31
net42,799.09
_06132_,798.605
_07672_,797.94
_02830_,797.92
_06137_,796.975
_09301_,795.98
_02652_,795.93
_06019_,795.18
_02852_,794.47
clknet_2_0_0_clk,793.87
_06150_,792.77
_03337_,790.94
_02207_,789.82
_03468_,788.66
_06134_,787.21
_03577_,785.96
net156,785.64
_02288_,783.17
_09036_,781.06
net89,780.94
_02951_,778.5
_08536_,778.38
_09011_,777.95
_06475_,777.69
_02355_,777.44
_07235_,775.94
net63,772.73
_06490_,770.52
net112,770.16
_03788_,769.785
_05971_,768.365
_03571_,766.695
_06119_,766.62
_02195_,766.2
_06122_,765.655
_06172_,764.95
_02660_,762.89
_06240_,761.76
_03347_,760.16
_05059_,757.815
_06485_,756.06
net117,752.25
_09057_,751.65
_07708_,750.45
net39,750.24
clknet_2_1_0_clk,749.15
_06856_,747.94
_03090_,747.42
_06033_,745.6
_08940_,745.3
_08530_,744.66
_06221_,744.37
_08960_,744.27
_06479_,743.35
_06195_,741.685
_04429_,740.9
_06447_,740.855
